name,family,n,m,regime,truth,aegypti_found,aegypti_valid,aegypti_correct,aegypti_ms,aegypti_miss,chiba_found,chiba_valid,chiba_correct,chiba_ms,matmul_found,matmul_correct,matmul_ms,all_agree,dense_branch_runs
er_sparse_00062,er_sparse,39,30,sparse,False,False,True,True,0.13250000483822078,False,False,True,True,0.04020000051241368,False,True,0.10689999908208847,True,False
er_sparse_00063,er_sparse,21,6,sparse,False,False,True,True,0.06500000017695129,False,False,True,True,0.021100000594742596,False,True,0.09429999772692099,True,False
er_sparse_00064,er_sparse,20,16,sparse,True,True,True,True,0.08240000170189887,False,True,True,True,0.021400002879090607,True,True,0.10900000052060932,True,False
er_sparse_00065,er_sparse,35,16,sparse,False,False,True,True,0.11069999891333282,False,False,True,True,0.03399999695830047,False,True,0.10199999815085903,True,False
er_sparse_00066,er_sparse,36,28,sparse,True,True,True,True,0.14689999807160348,False,True,True,True,0.035899996873922646,True,True,0.10340000153519213,True,False
er_sparse_00067,er_sparse,49,76,sparse,True,True,True,True,0.1973999969777651,False,True,True,True,0.044500004150904715,True,True,0.13339999713934958,True,False
er_sparse_00068,er_sparse,45,17,sparse,False,False,True,True,0.12199999764561653,False,False,True,True,0.03989999822806567,False,True,0.09890000364976004,True,False
er_sparse_00069,er_sparse,24,14,sparse,False,False,True,True,0.08550000347895548,False,False,True,True,0.02559999848017469,False,True,0.09410000347997993,True,False
er_sparse_00070,er_sparse,36,35,sparse,True,True,True,True,0.15099999291123822,False,True,True,True,0.03310000465717167,True,True,0.11329999688314274,True,False
er_sparse_00071,er_sparse,34,12,sparse,False,False,True,True,0.09639999916544184,False,False,True,True,0.032300005841534585,False,True,0.0988000028883107,True,False
er_sparse_00072,er_sparse,14,3,sparse,False,False,True,True,0.049500005843583494,False,False,True,True,0.015600002370774746,False,True,0.09850000060396269,True,False
er_sparse_00073,er_sparse,30,36,sparse,True,True,True,True,0.14109999756328762,False,True,True,True,0.026399997295811772,True,True,0.10720000136643648,True,False
er_sparse_00074,er_sparse,45,85,sparse,True,True,True,True,0.19729999621631578,False,True,True,True,0.04099999932805076,True,True,0.14850000297883525,True,False
er_sparse_00075,er_sparse,15,6,sparse,False,False,True,True,0.08320000051753595,False,False,True,True,0.01769999653333798,False,True,0.09839999984251335,True,False
er_sparse_00076,er_sparse,22,10,sparse,False,False,True,True,0.14240000018617138,False,False,True,True,0.04020000051241368,False,True,0.10049999400507659,True,False
er_sparse_00077,er_sparse,42,18,sparse,False,False,True,True,0.14229999942472205,False,False,True,True,0.04389999958220869,False,True,0.11369999992894009,True,False
er_sparse_00078,er_sparse,60,72,sparse,False,False,True,True,0.26839999918593094,False,False,True,True,0.08330000127898529,False,True,0.14840000221738592,True,False
er_sparse_00079,er_sparse,45,27,sparse,False,False,True,True,0.1866000020527281,False,False,True,True,0.06269999721553177,False,True,0.16220000543398783,True,False
er_sparse_00080,er_sparse,33,16,sparse,False,False,True,True,0.12579999747686088,False,False,True,True,0.03930000093532726,False,True,0.12430000060703605,True,False
er_sparse_00081,er_sparse,53,94,sparse,True,True,True,True,0.2351000002818182,False,True,True,True,0.04640000406652689,True,True,0.16399999731220305,True,False
er_sparse_00082,er_sparse,59,36,sparse,True,True,True,True,0.1908999984152615,False,True,True,True,0.0503999981447123,True,True,0.10689999908208847,True,False
er_sparse_00083,er_sparse,19,10,sparse,False,False,True,True,0.07020000339252874,False,False,True,True,0.02099999983329326,False,True,0.09719999798107892,True,False
er_sparse_00084,er_sparse,45,29,sparse,False,False,True,True,0.14880000526318327,False,False,True,True,0.045000000682193786,False,True,0.10599999950500205,True,False
er_sparse_00085,er_sparse,29,41,sparse,True,True,True,True,0.1218999968841672,False,True,True,True,0.028200003725942224,True,True,0.11499999527586624,True,False
er_sparse_00086,er_sparse,18,12,sparse,True,True,True,True,0.06830000347690657,False,True,True,True,0.019699997210409492,True,True,0.09610000415705144,True,False
er_sparse_00087,er_sparse,15,6,sparse,False,False,True,True,0.05570000212173909,False,False,True,True,0.017400001524947584,False,True,0.09370000043418258,True,False
er_sparse_00088,er_sparse,57,33,sparse,False,False,True,True,0.16840000171214342,False,False,True,True,0.05340000643627718,False,True,0.11100000119768083,True,False
er_sparse_00089,er_sparse,17,6,sparse,False,False,True,True,0.06030000076862052,False,False,True,True,0.01870000414783135,False,True,0.09660000068834051,True,False
er_sparse_00090,er_sparse,43,65,sparse,True,True,True,True,0.1720000000204891,False,True,True,True,0.03980000474257395,True,True,0.13070000568404794,True,False
er_sparse_00091,er_sparse,20,7,sparse,False,False,True,True,0.06579999899258837,False,False,True,True,0.020799998310394585,False,True,0.09919999865815043,True,False
er_sparse_00092,er_sparse,30,34,sparse,True,True,True,True,0.11700000322889537,False,True,True,True,0.02729999687289819,True,True,0.10710000060498714,True,False
er_sparse_00093,er_sparse,47,44,sparse,True,True,True,True,0.16740000137360767,False,True,True,True,0.048099995183292776,True,True,0.11730000551324338,True,False
er_sparse_00094,er_sparse,20,17,sparse,True,True,True,True,0.0805000017862767,False,True,True,True,0.02269999822601676,True,True,0.10070000280393288,True,False
er_sparse_00095,er_sparse,55,23,sparse,True,True,True,True,0.1444000008632429,False,True,True,True,0.04919999628327787,True,True,0.1055999964592047,True,False
er_sparse_00096,er_sparse,24,20,sparse,False,False,True,True,0.09490000229561701,False,False,True,True,0.02800000220304355,False,True,0.1007999962894246,True,False
er_sparse_00097,er_sparse,14,3,sparse,False,False,True,True,0.050199996621813625,False,False,True,True,0.016199999663513154,False,True,0.09470000077271834,True,False
er_sparse_00098,er_sparse,21,22,sparse,False,False,True,True,0.09239999781129882,False,False,True,True,0.02720000338740647,False,True,0.10350000229664147,True,False
er_sparse_00099,er_sparse,27,7,sparse,False,False,True,True,0.0790999984019436,False,False,True,True,0.026399997295811772,False,True,0.0962999984039925,True,False
er_sparse_00100,er_sparse,36,35,sparse,True,True,True,True,0.13519999629352242,False,True,True,True,0.03819999983534217,True,True,0.10749999637482688,True,False
er_sparse_00101,er_sparse,47,56,sparse,True,True,True,True,0.2451999971526675,False,True,True,True,0.045400003727991134,True,True,0.19799999427050352,True,False
er_sparse_00103,er_sparse,24,6,sparse,False,False,True,True,0.09159999899566174,False,False,True,True,0.030200004403013736,False,True,0.1505999971413985,True,False
er_sparse_00104,er_sparse,28,26,sparse,True,True,True,True,0.1447000031475909,False,True,True,True,0.036900004488416016,True,True,0.3285999991931021,True,False
er_sparse_00105,er_sparse,24,7,sparse,False,False,True,True,0.22589999571209773,False,False,True,True,0.07360000017797574,False,True,0.29370000265771523,True,False
er_sparse_00106,er_sparse,59,30,sparse,False,False,True,True,0.5136999971000478,False,False,True,True,0.11649999942164868,False,True,0.22670000180369243,True,False
er_sparse_00107,er_sparse,57,124,sparse,True,True,True,True,0.6352999989758246,False,True,True,True,0.13610000314656645,True,True,0.36589999945135787,True,False
er_sparse_00108,er_sparse,47,94,sparse,True,True,True,True,0.2983999947900884,False,True,True,True,0.05059999966761097,True,True,0.19460000476101413,True,False
er_sparse_00109,er_sparse,50,18,sparse,False,False,True,True,0.18279999494552612,False,False,True,True,0.059300000430084765,False,True,0.13500000204658136,True,False
er_sparse_00110,er_sparse,27,6,sparse,False,False,True,True,0.10170000314246863,False,False,True,True,0.035400000342633575,False,True,0.09960000170394778,True,False
